H01,H02,Old code,Old description,H03,H04,H05,H06,H07,H08,M201701,M201702,M201703,M201704,M201705,M201706,M201707,M201708,M201709,M201710,M201711,M201712,M201801,M201802,M201803,M201804,M201805,M201806,M201807,M201808,M201809,M201810,M201811,M201812,M201901,M201902,M201903,M201904,M201905,M201906,M201907,M201908,M201909,M201910,M201911,M201912,M202001,M202002,M202003,March Online Price,M202004,M202005,M202006,M202007,M202008,M202009,M202010,M202011,M202012,M202101,M202102,M202103,M202104,M202105,M202106,M202107,M202108,M202109,M202110,M202111,M202112,M202201,M202202,M202203,M202204,M202205,M202206,M202207,M202208,M202209,M202210,M202211,M202212,M202301,M202302,M202303,M202304,M202305,M202306,M202307,M202308,M202309,M202310,M202311,M202312,M202401,M202402,M202403,M202404,M202405,M202406,M202407,M202408,M202409,M202410,M202411,M202412,M202501,M202502,M202503
P0141,Consumer Price Index,01111001,Rice,01111201,White Rice,Price (Rand),monthly,10917,1 Kilogram,18.65,18.58,18.65,18.26,18.27,18.48,18.41,18.65,18.5,19.2,18.62,19.2,19.41,19.13,18.93,18.69,18.64,18.69,18.78,18.45,18.11,18.91,18.59,18.56,18.98,19.13,19.64,19.5,19.52,19.77,19.57,19.17,19.46,19.6,19.94,20.06,19.7,19.58,19.9,21.76,20.37,25.84,30.32,33.41,29.92,32.09,35.32,32.04,28.14,29.89,30.06,27.59,21.23,27.83,26.73,30.99,31.09,28.36,27.47,28.27,28.32,"24,28","27,69","26,52","23,75","25,01","26,28","25,56","27,36","22,07","22,48","22,86","23,23","23,22","23,54","23,85","24,13","24,64","24,03","25,35","26,01","26,89","28,59","29,25","30,07","31,1","31,83","31,76","31,88","32,16","33,07","33,93","34,01","33,49","33,13","33,18","33,48","29,06","28,97","29,01"
P0141,Consumer Price Index,01111001,Rice,01111201,White Rice,Price (Rand),monthly,10924,2 Kilogram,26.87,26.48,26.58,26.04,26.12,26.25,25.82,25.62,26.52,26.18,25.49,24.52,25.58,25.22,25.54,25.36,25.4,25.31,26.01,25.6,25.09,25.56,26.09,25.83,26.66,26.82,26.3,26.12,26.02,26.47,26.46,26.76,26.95,26.84,27.28,27.1,27.69,27.5,27.56,28.67,27.34,37.38,41.49,41.94,39.79,39.64,43.22,43.24,39.42,42.28,43.41,42.11,39.46,39.01,40.95,43.34,43.52,40.63,40.82,40.56,39.11,"38,61","38,78","38,26","37,23","37,1","38,49","40,58","41,1","35,48","35,66","35,01","35,82","35,18","35,53","36,34",36,"37,72","37,97","39,26","40,72","42,49","43,7","43,49","43,19","44,14","45,26","46,17","46,09","46,54","47,22","47,46","47,59","47,3","46,68","46,7","45,81","44,8","45,38","44,71"
P0141,Consumer Price Index,01116001,Cake flour,01112101,Cake flour,Price (Rand),monthly,10926,2.5 Kilogram,26.81,26.77,26.08,25.8,25.79,26.32,26.01,25.37,25.44,26.26,25.7,25.79,25.16,24.88,25.53,25.58,25.33,25.24,25.45,24.89,25.55,25.78,25.93,26.73,26.58,27.8,27.38,26.35,25.05,24.94,24.99,25.15,24.93,25.86,25.44,25.34,25.88,25.64,26.02,25.21,27.53,27.51,29.99,29.17,28.48,29.95,27.94,28.87,29.37,29.12,29.17,30.26,29.19,28.83,28.71,30.58,29.65,29.7,30.88,29.97,30.98,"31,3","33,63","33,95","34,33","34,97","36,31","38,15","39,48","39,68","40,29","40,1","40,34","40,73","41,21","42,38","41,91","42,2","42,28","42,9","43,02","42,73","43,32","43,29","43,24","43,03","43,23","43,13","42,69","42,75","43,1","42,67","43,02","42,97","42,49","42,44","41,8","41,93","42,27","42,20"
P0141,Consumer Price Index,01116002,Bread flour,01112102,Bread flour,Price (Rand),monthly,10926,2.5 Kilogram,31.41,31.65,30.8,30.24,30.76,30.86,29.96,29.7,29.08,29.23,29.53,29.08,29.6,29.59,29.94,30.2,29.5,30.23,30.03,30.16,29.71,29.74,29.37,29.45,29.56,30.33,29.91,29.08,27.92,28,27.19,28.01,28.51,28.64,28.62,28.53,28.67,28.49,28.67,26.03,27.03,28.61,0.00,30.16,36.00,35.73,34.49,34.17,33.02,36.28,36.83,34.38,34.34,33.64,34.06,36.76,35.53,34.65,34.37,35.72,35.13,"35,39","37,75","38,97","38,57","40,26","39,36","41,66","44,45","42,21","43,59","44,29","44,41","44,54","45,97","45,86","46,22","45,15","46,9","47,13","47,1","46,61","46,99","47,25","47,06","47,12","47,23","47,11","46,53","47,24","47,21","47,26","47,3","47,14","46,6","46,77","46,24","46,32","46,61","46,88"
P0141,Consumer Price Index,01116003,Maize meal,01112601,Maize meal,Price (Rand),monthly,10926,"2,5 Kilogram",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"26,65","28,11","28,69","28,02","30,15","33,61","32,31","33,05","32,71","33,82","34,08","35,19","36,6","37,63","37,86","37,98","38,36","37,57","37,18","36,73","36,81","36,86","37,04","36,64","36,7","37,12","36,8","36,76","37,66","38,34","39,11","39,09","38,93","38,45","38,04","38,48","40,39","41,34","42,11"
P0141,Consumer Price Index,01116003,Maize meal,01112601,Maize meal,Price (Rand),monthly,10931,5 Kilogram,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"52,32","54,23","53,67","54,17","57,64","58,42","59,43","62,39","63,12","62,22","65,01","65,58","66,2","67,27","68,9","69,15","67,82","66,55","67,22","68,34","69,03","66,59","68,02","66,6","66,88","68,52","67,29","66,61","66,53","71,21","72,42","71,96","71,4","70,47","71,08","71,04","73,11","74,91","75,47"
P0141,Consumer Price Index,01116012,Samp,01112602,Samp,Price (Rand),monthly,10917,1 Kilogram,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"13,53","13,84","14,07","14,3","14,45","15,06","15,59","16,13","16,27","16,25","16,46","17,07","17,55","17,89","18,5","18,41","18,54","19,08","19,36","19,2","19,15","19,23","19,39","19,02","19,17","19,28","19,18","19,39","20,07","20,58",21,"20,97","20,86","20,53","20,79","20,73","22,34","22,86","23,03"
P0141,Consumer Price Index,01112001,Loaf of white bread,01113101,White bread,Price (Rand),monthly,10902,700 Gram,13.41,13.38,13.43,13.49,13.37,13.36,13.41,13.22,13.03,12.98,12.92,12.91,12.92,13.08,12.95,13.05,12.92,12.96,12.95,12.98,13.14,13.14,13.17,13.29,13.45,13.7,13.86,13.85,13.96,13.9,13.83,13.75,13.73,13.71,13.62,13.51,13.51,13.63,13.66,14.21,14.43,14.70,15.19,15.05,15.38,15.03,15.1,15.42,15.21,15.63,15.81,15.65,15.11,15.33,15.24,15.57,15.3,15.27,15.39,15.68,15.46,"15,47","16,16","16,05","16,24","17,27","17,41","17,84","18,38","18,67","18,54","18,68","18,62","18,66","18,79","18,97","19,07","18,99","18,73","18,77","18,29","18,39","18,44","18,51","18,59","18,53","18,58","18,43","18,43","18,54","18,63","18,68","18,97","18,88","19,06","19,04","19,02","18,82","18,95","18,92"
P0141,Consumer Price Index,01112002,Loaf of brown bread,01113102,Brown bread,Price (Rand),monthly,10902,700 Gram,12.31,12.23,12.15,12.2,12.14,12.24,12.18,12.11,11.85,11.98,11.87,11.99,12.04,12.14,11.53,11.47,11.39,11.53,11.34,11.58,11.66,11.69,11.8,11.82,12.17,12.48,12.57,12.56,12.63,12.65,12.62,12.48,12.51,12.53,12.48,12.42,12.42,12.47,12.5,12.78,13.25,13.02,13.32,13.40,13.60,13.84,13.88,14.06,14.14,14.11,14.2,13.83,14.16,14.03,13.72,13.52,12.63,13.23,13.59,13.99,13.97,"13,99","14,64","14,64","14,93","15,37","15,9","15,93","16,32","16,69","16,75","16,74","16,61","16,83","16,84","17,16","17,29","17,19","17,19","17,17","16,96","16,96","17,06","17,12","17,12","17,16","17,06","17,19","17,14","17,21","17,31","17,28","17,52","17,64","17,63","17,55","17,39","17,34","17,52","17,60"
P0141,Consumer Price Index,01112005,Bread rolls,01113103,Bread rolls,Price (Rand),monthly,10558,For 6,13.09,11.9,11.94,11.58,11.73,11.34,11.52,11.13,10.95,11.23,11.48,11.53,11.33,11.22,11.34,11.49,11.58,11.59,11.74,11.72,11.77,11.75,11.84,12.05,11.63,11.89,12.09,12.1,12.08,12.19,12.5,12.51,12.48,12.9,12.83,12.65,12.42,12.56,12.91,17.42,17.50,17.49,17.99,17.28,16.02,15.69,15.86,15.98,14,17.30,17.51,15.78,15.39,14.05,13.98,14.65,14.58,13.03,14.55,13.72,14.69,"15,87","14,68","14,87","15,57","16,79","16,29","16,43","17,45","16,82","17,31","18,42","18,52","17,57","17,32","17,88","18,41","18,43","19,1","19,94",18,"18,06","18,45","18,19","18,4","18,66","19,04","18,92","18,94","18,76","18,64","18,97","19,01",19,"18,74","19,45","19,26","19,04","19,27","19,35"
